,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
2030,YDR156W,,5.246796847711745,6.4715887427376755,5.85919279522471
1502,YKL177W,,4.98357239906698,6.761659588398234,5.872615993732607
674,YHR069C,,5.779596821045045,6.085735572917082,5.932666196981064
698,YER112W,9.207634532979595,5.174988880276389,3.432925805880733,5.9385164063789055
3566,YKL021C,5.53622062218477,6.708560204874695,5.608503962036382,5.951094929698615
208,YNL030W,7.405040816321775,5.412417120426408,5.057087295977013,5.958181744241732
2060,YDL207W,,5.316119944604044,6.625806974359034,5.970963459481539
6056,YBL113C,10.03749429720499,4.057273011363133,3.877404397522817,5.990723902030314
1454,YDR496C,,3.9406257170027414,8.064963910646508,6.002794813824625
2061,YNL317W,,7.979779624801013,4.133784729441416,6.056782177121215
3875,YLR332W,,3.5607990374935348,8.571847080344538,6.0663230589190364
244,YDL017W,,6.732020587868768,5.412505141533776,6.072262864701273
2066,YNL329C,,5.492509626985738,6.658068045186346,6.075288836086042
57,YJL111W,,,6.093252063016296,6.093252063016296
619,YLL004W,6.581018614614025,,5.682224449677098,6.131621532145561
1762,YOR145C,,4.669565610107433,7.601077859437556,6.135321734772495
361,YJL148W,7.182221419815674,,5.13901941263988,6.160620416227777
1371,YDL131W,6.101694661472598,6.2324880345696085,,6.167091348021103
209,YDR225W,,6.507382131421607,5.837089469653357,6.172235800537482
3558,YHR169W,5.009918942312047,,7.3553380900972085,6.182628516204628
1761,YOR078W,4.602929343142971,,7.845611899507144,6.224270621325058
1429,YDL070W,9.359188245432648,3.2923498676976646,6.160864965115446,6.270801026081919
446,YDL178W,,7.233002830946639,5.31550624045961,6.2742545357031245
6103,YFL067W,6.312751125510649,,,6.312751125510649
721,YIL061C,,6.316536546194181,,6.316536546194181
5126,YIL014W,5.355585675371142,,7.297568625607058,6.3265771504891
213,YNL031C,6.429218316931279,5.694152549200026,6.898898687195746,6.3407565177756835
6028,YEL077C,,5.1830686389395115,7.55165442591513,6.367361532427321
2860,YOR056C,7.64228081394424,4.409357566716413,7.18336942921305,6.411669269957901
506,YPL254W,5.426811657613605,,7.401680419126215,6.41424603836991
2148,YDL208W,,4.250456113869527,8.5948236213482,6.422639867608863
1232,YLR300W,,3.892178058800247,8.987304090978677,6.4397410748894615
6133,YFL064C,,5.449628726636486,7.492307253089013,6.47096798986275
5597,YCL032W,5.282198064307239,4.180046814167648,9.951512920503786,6.471252599659557
1013,YNL082W,8.873585903051062,4.448329025702377,6.121280298606406,6.481065075786614
5568,YBL081W,,4.091038145020142,8.930189537392625,6.510613841206384
1367,YKL178C,4.070136829708716,5.427879817698566,10.05783192232172,6.518616189909667
1176,YOR309C,5.143622958312966,5.349666553633643,9.116035007402072,6.5364415064495605
1789,YCL054W,6.237258301782581,6.897233521159739,6.509369314515945,6.5479537124860885
1316,YGR103W,6.5790246737340174,4.3733894289360435,8.751633245860237,6.568015782843433
212,YBR009C,8.357925331718356,5.082528698771545,6.284338606181577,6.574930878890492
697,YMR125W,,,6.579224476737805,6.579224476737805
1701,YCL030C,4.042759817105097,2.7722148398224062,13.039140716815963,6.618038457914488
970,YNL306W,,7.667966613696071,5.6305595834704425,6.649263098583257
729,YHR089C,8.181320137998226,5.521811732328647,6.282954496369566,6.662028788898813
6071,YMR056C,,5.776241492383798,7.576072681777288,6.676157087080544
2126,YLR440C,,8.000966061809585,5.3641451419676764,6.68255560188863
